Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,YieldUnitWeight(lb)_Bau,YieldUnitWeight(lb)_Joh,YieldUnitWeight(lb)_Roberts,YieldUnitWeight(lb)_WEEP,YieldUnitWeight(lb)_Men,YieldUnitWeight(lb)_Guy,YieldUnitWeight(lb)_Mc,YieldUnitWeight(lb)_Mah,YieldUnitWeight(lb)_Sha,YieldUnitWeight(lb)_Sch,YieldUnitWeight(lb)_Atu,YieldUnitWeight(lb)_Zim,YieldUnitWeight(lb)_Scu,YieldUnitWeight(lb)_John,YieldUnitWeight(lb)_Arc,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,DryMatter%_F&N,DryMatter%_Alb,DryMatter%_Est1,DryMatter%_Est2,DryMatter%_Est3,DryMatter%_Est4,DryMatter%_Est5,DryMatter%_Est6,DryMatter%_M&R,DryMatter%_M&L,DryMatter%_Sun,DryMatter%_Gro,DryMatter%_AgH8-9,DryMatter%_AgH8-12,DryMatter%_B788,AvDryMatter%,N%(dry)_NAS,N%(dry)_F&L,N%(dry)_F&N,N%(dry)_Swa,N%(dry)_Chapko,N%(dry)_Hill,N%(dry)_Bru,N%(dry)_AgH8-9,N%(dry)_AgH8-12,N%(dry)_B788,N%(dry)_M&L,N%(dry)_M-FF,N%(dry)_M&R,N%(dry)_Foster,N%(dry)_Rob1,N%(dry)_Rob2,N%(dry)_Coa,N%(dry)_And,N%(dry)_Gol1,N%(dry)_Gol2,N%(dry)_Wol,N%(dry)_Pete,N%(dry)_Col,N%(dry)_Alb,N%(dry)_Arc,N%(dry)_Bis,N%(dry)_Gar,N%(dry)_Heg,N%(dry)_Flo,N%(dry)_Feil,N%(dry)_Bre,N%(dry)_Burns,N%(dry)_Coc,P%(dry)_M-FF,P%(dry)_NAS,P%(dry)_F&L,P%(dry)_F&N,P%(dry)_AgH8-9,P%(dry)_AgH8-12,P%(dry)_B788,P%(dry)_M&L,P%(dry)_L&V,P%(dry)_Foster,P%(dry)_Rob1,P%(dry)_Rob2,P%(dry)_Coa,P%(dry)_And,P%(dry)_Gol1,P%(dry)_Gol2,P%(dry)_Sims,P%(dry)_Wol,P%(dry)_Pete,P%(dry)_Col,P%(dry)_Alb,P%(dry)_Arc,P%(dry)_Swa,P%(dry)_Rei,K%(dry)_M-FF,K%(dry)_NAS,K%(dry)_F&L,K%(dry)_F&N,K%(dry)_AgH8-9,K%(dry)_AgH8-12,K%(dry)_B788,K%(dry)_Foster,K%(dry)_Rob1,K%(dry)_Rob2,K%(dry)_Coa,K%(dry)_And,K%(dry)_Gol1,K%(dry)_Gol2,K%(dry)_Sims,K%(dry)_Wol,K%(dry)_Pete,K%(dry)_Col,K%(dry)_Alb,K%(dry)_Arc,K%(dry)_Swa,K%(dry)_Rei,Moisture%_M&R,Moisture%_M&L,Moisture%_Sun,Moisture%_Gro,gWater/100g_AgH8-9,gWater/100g_AgH8-12,gWater/100g_B788,Protein%(dry)_NAS,Protein%(dry)_F&L,Protein%(dry)_F&N,Protein%(dry)_Swa,Protein%(dry)_Chapko,Protein%(dry)_Hill,Protein%(dry)_Bru,Protein%(dry)_Bis,Protein%(dry)_Gar,Protein%(dry)_Heg,Protein%(dry)_Flo,Protein%(dry)_Feil,Protein%(dry)_Bre,Protein%(dry)_Burns,gProtein/100g(wet)_AgH8-9,gProtein/100g(wet)_AgH8-12,gProtein/100g(wet)_B788,Protein%(wet)_M&L,N%(wet)_M-FF,P%(wet)_M-FF,gP/100g(wet)_AgH8-9,gP/100g(wet)_AgH8-12,gP/100g(wet)_B788,P%(wet)_M&L,K%(wet)_M-FF,gK/100g(wet)_AgH8-9,gK/100g(wet)_AgH8-12,gK/100g(wet)_B788,
"Alfalfa, for hay (full bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,15.25,2.392,0.22,1.99,"2,000",,,,,,,,,,,,,,,,,83.1,86.4,,,,,,,,,,,,,,,,84.75,2.336,2.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,1.99,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (full bloom, cut 2)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,12.7,2.592,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,85.6,89,,,,,,,,,,,,,,,,87.3,2.688,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (full bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,12.35,1.96,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,87.6,87.7,,,,,,,,,,,,,,,,87.65,1.776,2.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (mid bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.76,2.805646409,0.251298343,1.779198895,"2,000",,,,,,,,,,,,,,,,90.5,89.5,90.2,91,,,,,,,,85,,,,,,,89.24,2.8,2.752,3.008,,,,,,,,,2.718232044,2.75,,,,,,,,,,,,,,,,,,,,,0.26519337,0.24,0.26,0.24,,,,,,,,,,,,,,,,,,,,,2.17679558,1.82,1.56,1.56,,,,,,,,,,,,,,,,,,,15,,,,,,,17.5,17.2,18.8,,,,,,,,,,,,,,,,2.46,0.24,,,,,1.97,,,,
"Alfalfa, for hay (mid bloom, cut 1)",Medicago sativa,MESA,"N,P",Aboveground biomass,Forage,ton,2000,11.05,2.424,0.25,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,87.8,90.1,,,,,,,,,,,,,,,,88.95,2.032,2.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (mid bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.2,2.736,0.31,3.25,"2,000",,,,,,,,,,,,,,,,,90.5,91.1,,,,,,,,,,,,,,,,90.8,2.576,2.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (mid bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,11.6,3.008,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,88.4,,,,,,,,,,,,,,,,88.4,,3.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (pre bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,11.34,3.388963536,0.336160221,2.436160221,"2,000",,,,,,,,,,,,,,,,90.5,87.5,90.3,90,,,,,,,,85,,,,,,,88.66,3.2,3.552,3.6,,,,,,,,,3.29281768,3.3,,,,,,,,,,,,,,,,,,,,,0.364640884,0.36,0.29,0.33,,,,,,,,,,,,,,,,,,,,,2.364640884,2.36,2.51,2.51,,,,,,,,,,,,,,,,,,,15,,,,,,,20,22.2,22.5,,,,,,,,,,,,,,,,2.98,0.33,,,,,2.14,,,,
"Alfalfa, for hay (pre bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,17.4,2.528,0.29,2.8,"2,000",,,,,,,,,,,,,,,,,82.6,,,,,,,,,,,,,,,,,82.6,2.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (pre bloom, cut 2)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,14,2.496,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,86,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (pre bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,15.4,3.168,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,84.6,,,,,,,,,,,,,,,,,84.6,3.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (late vegetative, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,12.4,3.184,0.28,2.8,"2,000",,,,,,,,,,,,,,,,,,87.6,,,,,,,,,,,,,,,,87.6,,3.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (late vegetative, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,13,3.216,0.37,3.39,"2,000",,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,87,,3.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (late vegetative, cut 3)",Medicago sativa,MESA,"N,P",Aboveground biomass,Forage,ton,2000,14,3.056,0.22,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,86,,3.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for seed",Medicago sativa,MESA,N,Seed,Forage,cwt,100,11.7,6.014795017,#DIV/0!,#DIV/0!,100,,,,,,,,,,,,,,,,88.3,88.3,,,,,,,,,,,,,,,,,88.3,6.016,,,,,,,,,,,6.013590034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,,,,,,,,,,,,,5.31,,,,,,,,,,
"Alfalfa, for silage (tenth bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.9,3.34,0.38,2.88,"2,000",,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,,,,,24.1,,,,,,,,,,,,,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almonds (without shell),Prunus dulcis,PRDU,"N,P,K",Seed,Tree and fruit,lb of seed,1,4.42,3.339610797,0.544046872,0.765850596,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.58,,95.58,,,,,,,,,3.339610797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544046872,,,,,,,,,,,,,,,,,,,,,,,,0.765850596,,,,,,,,,,,,,,,,,,,,,,4.42,,,,,,,,,,,,,,,,,19.95,,,,,,0.52,,,,,0.732,,
Alomond (with shell),Prunus dulcis,PRDU,N,Fruit,Tree and fruit,lb of fruit,1,15,3.3,#DIV/0!,#DIV/0!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,85,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Malus sp.,MALUS,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.78,0.338793093,0.051779714,0.747809583,48,,,,,,,,,,,,,,,,,17.9,20.9,,,,,,,,,18,,,,16.07,,,18.22,0.448,0.368,,,,,,0.189172371,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,0.06,,,0.043559428,,,,,,,,,,,,,,,,,,,,,0.78,,,0.715619166,,,,,,,,,,,,,,,,,,82,,,,83.93,,,2.8,2.3,,,,,,,,,,,,,0.19,,,,,,0.007,,,,,0.115,,,
Apricot,Prunus armeniaca,PRAR3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.35,1.641025641,0.139194139,2.168498169,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65,,,13.65,,,,,,,,1.641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139194139,,,,,,,,,,,,,,,,,,,,,,,,2.168498169,,,,,,,,,,,,,,,,,,,,,,86.35,,,,,,,,,,,,,,,,,1.4,,,,,,0.019,,,,,0.296,,,
"Artichoke-Globe, for bud",Cynara scolymus,CYSC2,"N,P,K",Bud,Vegetable,lb of fruit ,1,83,2.541176471,0.509411765,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,,,,,,,,,,2.541176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.458823529,,0.56,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,2.7,,,,,,0.078,,,,,0.34,
"Artichoke-Jerusalum, for tuber",Helianthus tuberosus,HETU,"N,P,K",Tuber,Vegetable,lb of tuber,1,80.07,1.52,0.303333333,2.016666667,10,,,,,,,,,,,,,,,,,20.5,19.3,20,,,,,,,,,,,,,,,19.93,1.568,1.44,1.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.32,0.3,,,,,,,,,,,,,,,,,,,,,,2,2,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asparagus-Green, for shoot or spear (immature)",Asparagus officinalis,ASOF,"N,P",Shoot (immature),Vegetable,lb of stem ,1,92,5.55,0.69,#DIV/0!,30,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,8,8,,,,,,,,,,5.6,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,92,,,,,,,,,,,,,,,,,2.8,,,,,,0.052,,,,,,
"Asparagus-White, for shoot or spear (immature)",Asparagus officinalis,ASOF,"N,P",Shoot (immature),Vegetable,lb of stem ,1,93,4.342857143,0.742857143,#DIV/0!,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,4.342857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,1.9,,,,,,0.052,,,,,,
Avocado (all varieties),Persea americana,PEAM3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,74.27,1.231247571,0.159347066,2.328021765,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.73,,,25.73,,,,,,,,1.231247571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159347066,,,,,,,,,,,,,,,,,,,,,,,,2.328021765,,,,,,,,,,,,,,,,,,,,,,74.27,,,,,,,,,,,,,,,,,1.98,,,,,,0.041,,,,,0.599,,,
Avocado (Florida),Persea americana,PEAM3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,79.73,1.255056734,0.192402565,2.407498767,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.27,,,20.27,,,,,,,,1.255056734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192402565,,,,,,,,,,,,,,,,,,,,,,,,2.407498767,,,,,,,,,,,,,,,,,,,,,,79.73,,,,,,,,,,,,,,,,,1.59,,,,,,0.039,,,,,0.488,,,
Avocadoe (California),Persea americana,PEAM3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,72.56,1.2303207,0.153061224,2.310495627,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.44,,,27.44,,,,,,,,1.2303207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153061224,,,,,,,,,,,,,,,,,,,,,,,,2.310495627,,,,,,,,,,,,,,,,,,,,,,72.56,,,,,,,,,,,,,,,,,2.11,,,,,,0.042,,,,,0.634,,,
"Bahiagrass, for green chop",Paspalum notatum,PANO2,"N,P,K",Aboveground biomass,Forage,ton,2000,69.7,1.322666667,0.173333333,2.055,"2,000",,,,,,,,,,,,,,,,,30.3,30.6,30,,,,,,,,,,,,,,,30.3,1.328,1.216,1.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.17,0.22,,,,,,,,,,,,,,,,,,,,,,,2.66,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.6,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahiagrass, for hay",Paspalum notatum,PANO2,"N,P",Aboveground biomass,Forage,ton,2000,9.83,1.52,0.2,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,89.9,90.6,90,,,,,,,,,,,,,,,90.17,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.16,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahiagrass, for hay (mature)",Paspalum notatum,PANO2,N,Fruit,Forage,ton,2000,9.1,0.752,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,90.8,,91,,,,,,,,,,,,,,,90.9,0.752,,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana,Musa sp.,MUSA2,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,74.26,0.64024864,0.077700078,1.538461539,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.74,,,25.74,,,,,,,,0.64024864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077700078,,,,,,,,,,,,,,,,,,,,,,,,1.538461539,,,,,,,,,,,,,,,,,,,,,,74.26,,,,,,,,,,,,,,,,,1.03,,,,,,0.02,,,,,0.396,,,
"Barley-2 row, for grain",Hordeum vulgare,HOVU,"N,P,K",Floret,Cereal and oil,bu,48,13.3,2.32,0.35,0.49,48,,,,,,,,,,,,,,,,,,86.7,,,,,,,,,,,,,,,,86.7,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley-2 row, for straw",Hordeum vulgare,HOVU,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,72,9.2,0.688,0.08,2.11,,72,,,,,,,,,,,,,,,90,,91.6,,,,,,,,,,,,,,,,90.8,,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley-6 row, for grain (excluding Pacific Coast)",Hordeum vulgare,HOVU,"N,P,K",Floret,Cereal and oil,bu,48,11.72,2.109338703,0.419356823,0.537024609,48,,,,,,,,,,,,,,,,89.4,89,89,88,,,,,,,,86,,,,,,,88.28,2.08,1.984,2.112,,,,,,,,,2.270693512,2.1,,,,,,,,,,,,,,,,,,,,,0.447427293,0.45,0.39,0.39,,,,,,,,,,,,,,,,,,,,,0.548098434,0.55,0.53,0.52,,,,,,,,,,,,,,,,,,,14,,,,,,,13,12.4,13.2,,,,,,,,,,,,,,,,2.03,0.4,,,,,0.49,,,,
"Barley-6 row, for grain (Pacific coast only)",Hordeum vulgare,HOVU,"N,P,K",Floret,Cereal and oil,bu,48,10.77,1.614054134,0.375691509,0.58,48,,,,,,,,,,,,,,,,89.9,88.8,,89,,,,,,,,,,,,,,,89.23,1.568,,1.728,,,,,,,,,1.546162403,,,,,,,,,,,,,,,,,,,,,,0.367074527,0.37,,0.39,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,10.8,,,,,,,,,,,,,,,,1.39,0.33,,,,,,,,,
"Barley-6 row, for green chop (boot)",Hordeum vulgare,HOVU,"N,P,K",Aboveground biomass,Forage,ton,2000,79.65,2.204648649,0.37018018,1.578288288,"2,000",,,,,,,,,,,,,,,,22.2,,18.5,,,,,,,,,,,,,,,,20.35,,,,,2.112,,,,,,,2.297297297,,,,,,,,,,,,,,,,,,,,,,0.36036036,,0.38,,,,,,,,,,,,,,,,,,,,,,1.576576577,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,0.51,0.08,,,,,0.35,,,,
"Barley-6 row, for hay",Hordeum vulgare,HOVU,"N,P,K",Aboveground biomass,Forage,ton,2000,11.28,1.418136564,0.260825991,1.489196035,"2,000",,,,,,,,,,,,,,,,90.8,87.7,88.4,88,,,,,,,,,,,,,,,88.73,1.392,1.584,1.408,,,,,,,,,1.288546256,,,,,,,,,,,,,,,,,,,,,,0.253303965,0.25,0.26,0.28,,,,,,,,,,,,,,,,,,,,,1.486784141,1.49,1.51,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,9.9,8.8,,,,,,,,,,,,,,,,1.17,0.23,,,,,1.35,,,,
"Barley-6 row, for straw",Hordeum vulgare,HOVU,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,72,11.25,0.686047242,0.095555556,1.793888889,,72,,,,,,,,,,,,,,,90,84.1,91.6,91,,,,,,,,90,85.8,,,,,,88.75,0.704,0.688,,,,,,,,,0.652680653,0.655555556,0.73,,,,,,,,,,,,,,,,,,,,,0.111111111,,0.08,,,,,,,,,,,,,,,,,,,,,,1.477777778,,2.11,,,,,,,,,,,,,,,,,,,,10,14.2,,,,,,4.4,4.3,,,,,,,,,,,,,,,,3.5,0.59,0.1,,,,,1.33,,,,
"Bean, for seed (dry)",Phaseolus sp.,PHASE,"N,P,K",Seed,Vegetable,cwt,100,11.4,4.224,0.54,2.69,100,,,,,,,,,,,,,,,,,,88.6,,,,,,,,,,,,,,,,88.6,,4.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bean-Faba, for pod with seeds (immature)",Vicia faba,VIFA,"N,P,K",Fruit,Vegetable,lb of fruit,1,81,4.715789474,0.5,1.315789474,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,,,,,,,,,,4.715789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.315789474,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,5.6,,,,,,0.095,,,,,0.25,
"Bean-Kidney, for seed",Phaseolus vulgaris,PHVU,"N,P,K",Seed,Vegetable,cwt,100,10.75,3.985707865,0.443333333,1.066666667,100,,,,,,,,,,,,,,,,89,88.8,90.2,89,,,,,,,,,,,,,,,89.25,3.952,3.904,3.952,,,,,,,,,4.134831461,,,,,,,,,,,,,,,,,,,,,,,0.45,0.39,0.49,,,,,,,,,,,,,,,,,,,,,,1.1,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,24.4,24.7,,,,,,,,,,,,,,,,3.68,,,,,,,,,,
"Bean-Kidney, for straw",Phaseolus vulgaris,PHVU,"N,P,K",Straw,Vegetable,lb straw/cwt grain,76.14,12.3,1.274971942,0.151967826,1.594927048,,,,,,,,,,,67.37,75.28,76.25,74.88,86.92,,89.1,85.7,87,89,,,,,,,,,,,,,,,87.7,1.584,1.136,1.28,,,,,,,,,1.099887767,,,,,,,,,,,,,,,,,,,,,,0.145903479,,0.17,0.14,,,,,,,,,,,,,,,,,,,,,1.144781145,,2.5,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,7.1,8,,,,,,,,,,,,,,,,0.98,0.13,,,,,1.02,,,,
"Bean-Lima(baby), for pod with seeds",Phaseolus lunatus,PHLU2,"N,P",Fruit,Vegetable,lb of fruit,1,69,3.664516129,0.564516129,#DIV/0!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,,,,,,,,,,3.664516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,7.1,,,,,,0.175,,,,,,
"Bean-Lima, for pod with seeds",Phaseolus lunatus,PHLU2,"N,P,K",Fruit,Vegetable,lb of fruit,1,71,3.475862069,0.5,0.896551724,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,,,,,,,,,,3.475862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.896551724,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,6.3,,,,,,0.145,,,,,0.26,
"Bean-Lima, for seed",Phaseolus lunatus,PHLU2,"N,P,K",Seed,Vegetable,cwt,100,9.98,3.594547486,0.408058659,1.854860335,100,,,,,,,,,,,,,,,,89.5,89.6,91,90,,,,,,,,,,,,,,,90.03,3.312,3.616,3.696,,,,,,,,,3.754189944,,,,,,,,,,,,,,,,,,,,,,0.402234637,0.42,0.39,0.42,,,,,,,,,,,,,,,,,,,,,1.899441341,1.8,1.92,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,22.6,23.1,,,,,,,,,,,,,,,,3.36,0.36,,,,,1.7,,,,
